ctime,name,blks_zeroed,blks_hit,blks_read,blks_written,blks_exists,flushes,truncates,stats_reset
1719459343.732568,MultiXactOffset,1,2854,10,11,10,54,0,2024-06-13 18:53:49.178489+00
1719459343.732568,Notify,0,0,0,0,0,0,0,2024-06-13 18:53:49.178489+00
1719459343.732568,Serial,0,0,0,0,0,0,0,2024-06-13 18:53:49.178489+00
1719459343.732568,Subtrans,739,172,0,736,0,44,43,2024-06-13 18:53:49.178489+00
1719459343.732568,Xact,705,89826182,9,759,0,44,0,2024-06-13 18:53:49.178489+00
1719459343.732568,other,0,0,0,0,0,0,0,2024-06-13 18:53:49.178489+00
1719459403.743889,CommitTs,0,0,0,0,0,44,0,2024-06-13 18:53:49.178489+00
1719459403.743889,MultiXactMember,2,2851,5,12,0,54,0,2024-06-13 18:53:49.178489+00
1719459403.743889,MultiXactOffset,1,2854,10,11,10,54,0,2024-06-13 18:53:49.178489+00
1719459403.743889,Notify,0,0,0,0,0,0,0,2024-06-13 18:53:49.178489+00
1719459403.743889,Serial,0,0,0,0,0,0,0,2024-06-13 18:53:49.178489+00
1719459403.743889,Subtrans,739,172,0,736,0,44,43,2024-06-13 18:53:49.178489+00
1719459403.743889,Xact,705,89826182,9,759,0,44,0,2024-06-13 18:53:49.178489+00
1719459403.743889,other,0,0,0,0,0,0,0,2024-06-13 18:53:49.178489+00
1719459463.754484,CommitTs,0,0,0,0,0,44,0,2024-06-13 18:53:49.178489+00
1719459463.754484,MultiXactMember,2,2851,5,12,0,54,0,2024-06-13 18:53:49.178489+00
1719459463.754484,MultiXactOffset,1,2854,10,11,10,54,0,2024-06-13 18:53:49.178489+00
1719459463.754484,Notify,0,0,0,0,0,0,0,2024-06-13 18:53:49.178489+00
1719459463.754484,Serial,0,0,0,0,0,0,0,2024-06-13 18:53:49.178489+00
1719459463.754484,Subtrans,739,172,0,736,0,44,43,2024-06-13 18:53:49.178489+00
1719459463.754484,Xact,705,89826182,9,759,0,44,0,2024-06-13 18:53:49.178489+00
